year2,emp,state_name
2000,420477,District of Columbia
2001,428716,District of Columbia
2002,427599,District of Columbia
2003,427238,District of Columbia
2004,437711,District of Columbia
2005,444983,District of Columbia
2006,450719,District of Columbia
2007,466746,District of Columbia
2008,475091,District of Columbia
2009,476547,District of Columbia
2010,475721,District of Columbia
2011,489847,District of Columbia
2012,494353,District of Columbia
2013,500767,District of Columbia
2014,503649,District of Columbia
2000,2029468,Maryland
2001,2075436,Maryland
2002,2052907,Maryland
2003,2077473,Maryland
2004,2132984,Maryland
2005,2149555,Maryland
2006,2218117,Maryland
2007,2213249,Maryland
2008,2216349,Maryland
2009,2115235,Maryland
2010,2069531,Maryland
2011,2098174,Maryland
2012,2147147,Maryland
2013,2183851,Maryland
2014,2213085,Maryland
2000,2847865,Virginia
2001,2908434,Virginia
2002,2893166,Virginia
2003,2902072,Virginia
2004,3012556,Virginia
2005,3045105,Virginia
2006,3152167,Virginia
2007,3152240,Virginia
2008,3144965,Virginia
2009,3014449,Virginia
2010,2955556,Virginia
2011,2985282,Virginia
2012,3043321,Virginia
2013,3088258,Virginia
2014,3117342,Virginia
