emp,state_name,state_code
1594940,Alabama,AL
265837,Alaska,AK
2197999,Arizona,AZ
986738,Arkansas,AR
13507087,California,CA
2144675,Colorado,CO
1488006,Connecticut,CT
392154,Delaware,DE
503649,District of Columbia,DC
7041161,Florida,FL
3466866,Georgia,GA
510182,Hawaii,HI
529621,Idaho,ID
5258541,Illinois,IL
2591650,Indiana,IN
1303619,Iowa,IA
1158830,Kansas,KS
1520607,Kentucky,KY
1682303,Louisiana,LA
483708,Maine,ME
2213085,Maryland,MD
3083257,Massachusetts,MA
3588109,Michigan,MI
2579874,Minnesota,MN
899426,Mississippi,MS
2404154,Missouri,MO
358302,Montana,MT
785907,Nebraska,NE
1076416,Nevada,NV
550930,New Hampshire,NH
3452318,New Jersey,NJ
593968,New Mexico,NM
7819083,New York,NY
3395290,North Carolina,NC
348597,North Dakota,ND
4653354,Ohio,OH
1339559,Oklahoma,OK
1458804,Oregon,OR
5211465,Pennsylvania,PA
420819,Rhode Island,RI
1595076,South Carolina,SC
339014,South Dakota,SD
2429351,Tennessee,TN
9728017,Texas,TX
1117111,Utah,UT
259772,Vermont,VT
3117342,Virginia,VA
2448627,Washington,WA
568774,West Virginia,WV
2426438,Wisconsin,WI
212454,Wyoming,WY
