year2,state,fage4,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,01,a) 0,8821,9493,56760,28730,9294,195.8,0,0,56061,56061,0,195.1,195.1,0,0,0,0,0,56061,195.1,0,0,,,
1977,01,l) Left Censored,43550,53359,900537,905180,1340,2.4,8057,14.1,135461,33808,101653,3.7,15,144746,58891,85855,6.5,16,-9285,-1,30,0,5623,5641,36602
1977,02,a) 0,1570,1709,12495,6306,1678,196.4,0,0,12378,12378,0,196.3,196.3,0,0,0,0,0,12378,196.3,0,0,,,
1977,02,l) Left Censored,4910,6016,94669,101828,350,5.3,1564,23.5,25167,6881,18286,6.8,24.7,39485,13504,25981,13.3,38.8,-14318,-14.1,49.4,0,1035,1039,6757
1977,04,a) 0,7748,8419,51174,25948,8258,196.2,0,0,50452,50452,0,194.4,194.4,0,0,0,0,0,50452,194.4,0,0,,,
1977,04,l) Left Censored,28729,35694,553377,563604,1121,2.9,6230,16.2,96974,20193,76781,3.6,17.2,117429,45366,72063,8,20.8,-20455,-3.6,34.4,0,4332,4357,29116
1977,05,a) 0,6308,6616,31758,16121,6478,195.8,0,0,31274,31274,0,194,194,0,0,0,0,0,31274,194,0,0,,,
1977,05,l) Left Censored,29191,34086,519352,513588,813,2.2,5455,14.9,88454,13253,75201,2.6,17.2,76925,32531,44394,6.3,15,11529,2.2,30,0,3970,3994,19678
1977,06,a) 0,72181,79059,519516,263661,77667,196.5,0,0,511711,511711,0,194.1,194.1,0,0,0,0,0,511711,194.1,0,0,,,
1977,06,l) Left Censored,290706,359707,6293790,6221299,10520,2.7,60589,15.7,1227667,267453,960214,4.3,19.7,1082685,488562,594123,7.9,17.4,144982,2.3,34.8,0,39693,39932,276475
1977,08,a) 0,10666,11384,63114,31789,11243,197.5,0,0,62650,62650,0,197.1,197.1,0,0,0,0,0,62650,197.1,0,0,,,
1977,08,l) Left Censored,40976,48803,751028,754761,1631,3.1,8248,15.8,135593,30620,104973,4.1,18,143058,62313,80745,8.3,19,-7465,-1,36,0,5673,5694,37131
1977,09,a) 0,7483,8030,45800,22967,8022,199.8,0,0,45667,45667,0,198.8,198.8,0,0,0,0,0,45667,198.8,0,0,,,
1977,09,l) Left Censored,46396,53380,1058010,1037033,1131,2,6634,11.8,169183,24190,144993,2.3,16.3,127228,47273,79955,4.6,12.3,41955,4,24.6,0,4248,4263,24208
1977,10,a) 0,1580,1746,9769,4970,1695,194.2,0,0,9599,9599,0,193.1,193.1,0,0,0,0,0,9599,193.1,0,0,,,
1977,10,l) Left Censored,8339,9719,213366,215889,259,2.5,1250,12.2,25218,4661,20557,2.2,11.7,30264,9058,21206,4.2,14,-5046,-2.3,23.4,0,807,810,5417
1977,11,a) 0,1735,1897,14793,7479,1857,195.8,0,0,14629,14629,0,195.6,195.6,0,0,0,0,0,14629,195.6,0,0,,,
1977,11,l) Left Censored,11292,13144,282085,288552,405,2.9,1855,13.3,44795,13201,31594,4.6,15.5,57729,20610,37119,7.1,20,-12934,-4.5,31,0,1131,1135,9899
